Время;ISIN;Эмитент;Тип ценной бумаги;Рынок;Площадка;Торговая цена;Кол-во ЦБ;сумма
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5600;100; 560 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5600;200; 1 120 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5660;5; 28 300,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5670;80; 453 600,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5674;12; 68 088,00 
16/01/24 16:15;UZ7051720009 UTYK;<O'ztemiryo'lkonteyner>AJ;Простыеакции;STK;G1;240000;1; 240 000,00 
16/01/24 16:15;UZ7039920002 IPKY;AITB<IpakYo'li>;Простыеакции;STK;G1;77,99;210; 16 377,90 
16/01/24 16:15;UZ7039920002 IPKY;AITB<IpakYo'li>;Простыеакции;STK;G1;78;280; 21 840,00 
16/01/24 16:15;UZ7016550004 KYEZ;XII<Kogonyog'-ekstraksiyazavodi>AJ;Простыеакции;STK;G1;410;7; 2 870,00 
16/01/24 16:15;UZ7003040001 UZMT;<UzAutoMotors>AJ;Простыеакции;STK;G1;70000;1; 70 000,00 
16/01/24 16:15;UZ7001100005 KFLT;<KAFOLATsug'urtakompaniyasi>AJ;Простыеакции;STK;G1;115,99;9; 1 043,91 
16/01/24 16:15;UZ7054570005 IPTB;<Ipoteka-bank>ATIB;Простыеакции;STK;G1;1,24;7376; 9 146,24 
16/01/24 16:15;UZ7054570005 IPTB;<Ipoteka-bank>ATIB;Простыеакции;STK;G1;1,24;7900; 9 796,00 
16/01/24 16:15;UZ7056000001 NASK;<Navoiysavdokompleksi>AJ;Простыеакции;STK;G1;1200;1; 1 200,00 
16/01/24 16:15;UZ7056000001 NASK;<Navoiysavdokompleksi>AJ;Простыеакции;STK;G1;1190;1; 1 190,00 
16/01/24 16:15;UZ7056000001 NASK;<Navoiysavdokompleksi>AJ;Простыеакции;STK;G1;1199;3; 3 597,00 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60,48;1000; 60 480,00 
16/01/24 16:15;UZ7015230004 MCBA;<Mikrokreditbank>ATB;Простыеакции;STK;G1;972;1; 972,00 
16/01/24 16:15;UZ7015230004 MCBA;<Mikrokreditbank>ATB;Простыеакции;STK;G1;971,01;9; 8 739,09 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60,48;4000; 241 920,00 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60,48;5000; 302 400,00 
16/01/24 16:15;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;70; 189 000,00 
16/01/24 16:15;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;517;1; 517,00 
16/01/24 16:15;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;517,4;4; 2 069,60 
16/01/24 16:15;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;517,5;25; 12 937,50 
16/01/24 16:15;UZ7004510002 KUMZ;<Qo'qonmexanikazavodi>AJ;Простыеакции;STK;G1;619,98;5; 3 099,90 
16/01/24 16:15;UZ7054590003 DORI;<DORI-DARMON>AK;Простыеакции;STK;G1;9000;1; 9 000,00 
16/01/24 16:15;UZ7001990009 QAPI;<QashPi>AJ;Простыеакции;STK;G1;800;8; 6 400,00 
16/01/24 16:15;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;7; 18 900,00 
16/01/24 16:15;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;20000; 400,00 
16/01/24 16:15;UZ704338K011 UTGAP;<O'ztransgaz>AJ;Прив.акции;STK;G1;8149;1; 8 149,00 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60;16; 960,00 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60;24; 1 440,00 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;950; 2 546,00 
16/01/24 16:15;UZ701879K017 BRBNP;<Biznesnirivojlantirishbanki>ATB;Прив.акции;STK;G1;395;1; 395,00 
16/01/24 16:15;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1458;1; 1 458,00 
16/01/24 16:15;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;800; 1 160 000,00 
16/01/24 16:15;UZ7034730000 QATT;<Qashqadaryotexnologiktransport>AJ;Простыеакции;STK;G1;1328;1; 1 328,00 
16/01/24 16:15;UZ7034730000 QATT;<Qashqadaryotexnologiktransport>AJ;Простыеакции;STK;G1;1328;1; 1 328,00 
16/01/24 16:15;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;10000; 200,00 
16/01/24 16:15;UZ7025770007 KVTS;<Kvarts>AJ;Простыеакции;STK;G1;1855,15;8; 14 841,20 
16/01/24 16:15;UZ7025770007 KVTS;<Kvarts>AJ;Простыеакции;STK;G1;1855,11;29; 53 798,19 
16/01/24 16:15;UZ7025770007 KVTS;<Kvarts>AJ;Простыеакции;STK;G1;1855,01;15; 27 825,15 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;105; 281,40 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;400; 1 072,00 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;5000; 13 400,00 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;11446; 30 675,28 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;20000; 53 600,00 
16/01/24 16:15;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;10000; 200,00 
16/01/24 16:15;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;60,48;200; 12 096,00 
16/01/24 16:15;UZ7021720006 UZMK;<O'zmetkombinat>AJ;Простыеакции;STK;G1;6600,01;2; 13 200,02 
16/01/24 16:15;UZ7004510002 KUMZ;<Qo'qonmexanikazavodi>AJ;Простыеакции;STK;G1;619,98;2; 1 239,96 
16/01/24 16:15;UZ703756K015 SQBNP;<O'zsanoatqurilishbank>ATB;Прив.акции;STK;G1;37;18; 666,00 
16/01/24 16:15;UZ703756K015 SQBNP;<O'zsanoatqurilishbank>ATB;Прив.акции;STK;G1;37,9;182; 6 897,80 
16/01/24 16:15;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;10000; 200,00 
16/01/24 16:15;UZ7043200003 URTS;<O'zRTXB>AJ;Простыеакции;STK;G1;17299;1; 17 299,00 
16/01/24 16:15;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;1008; 2 701,44 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;6000;9; 54 000,00 
16/01/24 16:15;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;11990;4; 47 960,00 
16/01/24 16:15;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;11997,99;3; 35 993,97 
16/01/24 16:15;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;11998;34; 407 932,00 
16/01/24 16:15;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;2; 5 400,00 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;6000;323; 1 938 000,00 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;5750,03;3; 17 250,09 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;5750,02;2; 11 500,04 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;5750,01;10; 57 500,10 
16/01/24 16:15;UZ704711K019 UZTLP;<O'zbektelekom>AK;Прив.акции;STK;G1;5750;15; 86 250,00 
16/01/24 16:15;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1445;700; 1 011 500,00 
16/01/24 16:15;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1440;1200; 1 728 000,00 
16/01/24 16:15;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1439,99;137; 197 278,63 
