id,title,link,views,read_time,author_name,create_date,author_link
535054,Tutorial. Deploying Django project to Heroku and storing static content on AWS S3: basic scenario from start to finish,https://habr.com/ru/articles/535054/,8.2K,12 мин,DmitOlegovich,"2020-12-25, 17:43",https://habr.com/ru/users/DmitOlegovich/
122156,Тестирование проектов Django,https://habr.com/ru/articles/122156/,54K,5 мин,printf,"2011-06-18, 22:36",https://habr.com/ru/users/printf/
242261,Эффективный Django. Часть 2,https://habr.com/ru/articles/242261/,71K,9 мин,bjakushka,"2014-11-20, 10:29",https://habr.com/ru/users/bjakushka/
568556,Не суйте свой Pydantic в мое Django,https://habr.com/ru/articles/568556/,23K,8 мин,danilovmy,"2021-07-21, 18:54",https://habr.com/ru/users/danilovmy/
590461,Асинхронному django быть. Эксклюзивно для Хабра,https://habr.com/ru/articles/590461/,12K,7 мин,abetkin,"2021-11-20, 19:18",https://habr.com/ru/users/abetkin/
682790,Django и PWA,https://habr.com/ru/articles/682790/,10K,6 мин,Programming_owl,"2022-08-16, 12:11",https://habr.com/ru/users/Programming_owl/
503380,Асинхронные задания в Django с Celery,https://habr.com/ru/companies/otus/articles/503380/,51K,11 мин,MaxRokatansky,"2020-05-22, 18:08",https://habr.com/ru/users/MaxRokatansky/
74165,Прикручиваем django-registration,https://habr.com/ru/articles/74165/,56K,6 мин,hardtop,"2009-11-03, 12:26",https://habr.com/ru/users/hardtop/
74967,Перевод Django Documentation: Models. Part 2,https://habr.com/ru/articles/74967/,17K,10 мин,fata1ex,"2009-11-12, 03:12",https://habr.com/ru/users/fata1ex/
91471,Пишем функциональные/интеграционные тесты для проекта на django,https://habr.com/ru/articles/91471/,17K,8 мин,kmike,"2010-04-20, 09:50",https://habr.com/ru/users/kmike/
87357,"Django, начало работы с базой данных",https://habr.com/ru/articles/87357/,49K,5 мин,SadHamster,"2010-03-13, 23:43",https://habr.com/ru/users/SadHamster/
581964,Python service layer: основы оформления бизнес-логики на примере Django-приложений,https://habr.com/ru/articles/581964/,29K,18 мин,ChasingRainbows,"2021-10-06, 17:29",https://habr.com/ru/users/ChasingRainbows/
id,title,link,views,read_time,author_name,create_date,author_link
304682,"JetBrains и Django анонсировали 30% распродажу PyCharm, c передачей всех денег в фонд Django",https://habr.com/ru/companies/JetBrains/articles/304682/,13K,3 мин,philipto,"2016-07-04, 15:55",https://habr.com/ru/users/philipto/
701800,Настройка Visual Studio Code для Django,https://habr.com/ru/articles/701800/,22K,3 мин,cybran24,"2022-11-26, 23:15",https://habr.com/ru/users/cybran24/
463021,"Первое, что нужно сделать, запуская проект на Django",https://habr.com/ru/articles/463021/,32K,4 мин,Joseph_Parker,"2019-08-08, 19:09",https://habr.com/ru/users/Joseph_Parker/
501414,"Настройка Debian, Nginx и Gunicorn для Django проекта",https://habr.com/ru/articles/501414/,38K,8 мин,archal,"2020-05-11, 16:11",https://habr.com/ru/users/archal/
510196,Сравнение разных django filter на примере демо базы PostgreSQL,https://habr.com/ru/articles/510196/,11K,6 мин,kantegory,"2020-07-09, 00:24",https://habr.com/ru/users/kantegory/
228411,Django widgets и еще пара трюков,https://habr.com/ru/companies/starttospeak/articles/228411/,25K,7 мин,fu2re,"2014-07-02, 14:28",https://habr.com/ru/users/fu2re/
243427,[ПЕРЕВОД] Аутентификация на основе JSON Web Token в Django и AngularJS: часть первая,https://habr.com/ru/articles/243427/,72K,7 мин,d06pbiy_kot,"2014-11-17, 17:43",https://habr.com/ru/users/d06pbiy_kot/
652951,Как тестировать сайт на Django. Часть 2. JavaScript и русский текст на английских страницах,https://habr.com/ru/companies/pvs-studio/articles/652951/,2.6K,13 мин,estepanov_coder,"2022-02-22, 13:24",https://habr.com/ru/users/estepanov_coder/
672952,"Все не то, давай по-новой или модерация объектов в Django Rest Framework",https://habr.com/ru/articles/672952/,5.8K,17 мин,BigBread,"2022-06-23, 09:53",https://habr.com/ru/users/BigBread/
730238,"Простая очередь задач в Django, подключение Kandinsky 2.1",https://habr.com/ru/articles/730238/,3.5K,8 мин,evilsadko,"2023-04-20, 06:06",https://habr.com/ru/users/evilsadko/
313764,Стратегии расширения Django User Model,https://habr.com/ru/articles/313764/,100K,9 мин,dmitryklimenko,"2016-10-27, 14:46",https://habr.com/ru/users/dmitryklimenko/
718800,"Пишем сервис для сокращения ссылок на Django, DRF",https://habr.com/ru/articles/718800/,8.5K,13 мин,okazivaetsya,"2023-02-24, 08:45",https://habr.com/ru/users/okazivaetsya/
722054,Разработка Web API на Django с помощью Django REST framework: от создания моделей до тестирования,https://habr.com/ru/articles/722054/,10K,3 мин,craxti,"2023-03-13, 15:26",https://habr.com/ru/users/craxti/
538320,Разрабатываем и развёртываем собственную платформу ИИ с Python и Django,https://habr.com/ru/companies/skillfactory/articles/538320/,23K,11 мин,Picard,"2021-01-22, 13:13",https://habr.com/ru/users/Picard/
202782,Интеграция wysiwyg редактора с Django. Обзор,https://habr.com/ru/companies/htdt/articles/202782/,42K,4 мин,Flip89,"2013-11-19, 18:56",https://habr.com/ru/users/Flip89/
108191,Django 1.3 alpha 1,https://habr.com/ru/articles/108191/,882,2 мин,fata1ex,"2010-11-15, 17:49",https://habr.com/ru/users/fata1ex/
234307,Минималистичный issue tracker на Django,https://habr.com/ru/articles/234307/,19K,11 мин,svfat,"2014-09-03, 11:21",https://habr.com/ru/users/svfat/
571700,Асинхронность — в django,https://habr.com/ru/articles/571700/,15K,4 мин,abetkin,"2021-08-07, 16:45",https://habr.com/ru/users/abetkin/
651465,Как мы собрали проект на Django и React и уважили загрузчик Webpack,https://habr.com/ru/companies/piter/articles/651465/,9.3K,10 мин,ph_piter,"2022-02-14, 16:38",https://habr.com/ru/users/ph_piter/
680572,Как стажёр оптимизировал запросы и нашел баг в Django,https://habr.com/ru/companies/kts/articles/680572/,19K,10 мин,ipakeev,"2022-08-03, 15:41",https://habr.com/ru/users/ipakeev/
id,title,link,views,read_time,author_name,create_date,author_link
684958,Аутентификация в Django при помощи Metamask,https://habr.com/ru/articles/684958/,4.5K,4 мин,Sobolev5,"2022-08-27, 15:35",https://habr.com/ru/users/Sobolev5/
728792,Python Дайджест: как ускорить Django проект до (почти) максимума,https://habr.com/ru/companies/first/articles/728792/,4.5K,7 мин,axsapronov,"2023-04-25, 11:00",https://habr.com/ru/users/axsapronov/
734786,Telegram Django Bot за пару строк,https://habr.com/ru/articles/734786/,20K,7 мин,AlexAleskin,"2023-05-12, 18:15",https://habr.com/ru/users/AlexAleskin/
322114,Django Admin с миллионами записей — 11 практик оптимизаций для начинающих,https://habr.com/ru/articles/322114/,20K,8 мин,axsapronov,"2021-10-12, 11:30",https://habr.com/ru/users/axsapronov/
74334,Тестирование Django приложений с помощью Selenium,https://habr.com/ru/articles/74334/,6.9K,6 мин,spanasik,"2009-11-05, 11:21",https://habr.com/ru/users/spanasik/
89184,Django 1.2 и CSRF,https://habr.com/ru/articles/89184/,11K,5 мин,damnerd,"2010-03-30, 08:02",https://habr.com/ru/users/damnerd/
188106,Django development server и тестирование HTTPS,https://habr.com/ru/articles/188106/,15K,5 мин,mligus,"2013-07-31, 09:52",https://habr.com/ru/users/mligus/
598107,"Как мы оптимизировали i-запросы, а нашли неточности в документации Django",https://habr.com/ru/articles/598107/,7.2K,9 мин,technokratiya,"2021-12-27, 14:47",https://habr.com/ru/users/technokratiya/
224011,Django tips & tricks,https://habr.com/ru/articles/224011/,51K,9 мин,kesn,"2014-06-03, 00:05",https://habr.com/ru/users/kesn/
761526,Hello-World туториал на React/Django/RabbitMQ/Websockets,https://habr.com/ru/articles/761526/,9.2K,37 мин,aboyev,"2023-09-18, 08:57",https://habr.com/ru/users/aboyev/
751176,Как сделать свою страницу в Django Admin с выразительной Hand Chart?,https://habr.com/ru/articles/751176/,4.2K,34 мин,MyShinobi,"2023-09-07, 08:00",https://habr.com/ru/users/MyShinobi/
561696,Django Rest Framework для начинающих: создаём API для чтения данных (часть 1),https://habr.com/ru/companies/yandex_praktikum/articles/561696/,130K,11 мин,StasGaranzha,"2021-06-10, 16:34",https://habr.com/ru/users/StasGaranzha/
595843,Актуальный сборник шаблонов для создания проектов и приложений на Django,https://habr.com/ru/articles/595843/,10K,2 мин,denisxab,"2021-12-15, 18:56",https://habr.com/ru/users/denisxab/
226419,Django на production. uWSGI + nginx. Подробное руководство,https://habr.com/ru/articles/226419/,216K,7 мин,88z,"2014-06-16, 18:04",https://habr.com/ru/users/88z/
233793,Python на облачном хостинге Infobox Jelastic: запускаем Django CMS,https://habr.com/ru/companies/infobox/articles/233793/,13K,6 мин,infobox,"2014-08-19, 10:36",https://habr.com/ru/users/infobox/
266161,Django 1.9 получит новый дизайн админки,https://habr.com/ru/articles/266161/,36K,2 мин,elky,"2015-09-05, 02:00",https://habr.com/ru/users/elky/
278743,django-controlcenter,https://habr.com/ru/articles/278743/,20K,13 мин,magic4x,"2016-03-07, 21:06",https://habr.com/ru/users/magic4x/
522106,Отношение один к одному: связывание модели пользователя с кастомной моделью профиля в Django,https://habr.com/ru/companies/otus/articles/522106/,7K,5 мин,MaxRokatansky,"2020-10-05, 16:11",https://habr.com/ru/users/MaxRokatansky/
523068,Логирование запросов к приложению Django,https://habr.com/ru/companies/barsgroup/articles/523068/,13K,20 мин,Babayko,"2020-10-14, 10:52",https://habr.com/ru/users/Babayko/
188242,Поиск через sphinx в django 1.6 admin,https://habr.com/ru/articles/188242/,12K,3 мин,lightsgoout,"2013-07-29, 19:48",https://habr.com/ru/users/lightsgoout/
id,title,link,views,read_time,author_name,create_date,author_link
104998,Django на серверах ValueHost,https://habr.com/ru/companies/webhostinginc/articles/104998/,2.2K,3 мин,vhost,"2010-09-27, 10:17",https://habr.com/ru/users/vhost/
115763,Что будет в django 1.3,https://habr.com/ru/articles/115763/,1.3K,4 мин,kmike,"2011-03-18, 17:31",https://habr.com/ru/users/kmike/
568666,Как подружить django и vue.js,https://habr.com/ru/articles/568666/,20K,4 мин,momoru_kun,"2021-07-20, 14:04",https://habr.com/ru/users/momoru_kun/
253445,"Django DB Mailer — простая и удобная батарейка, для отправки почтовых сообщений в вашем проекте",https://habr.com/ru/articles/253445/,24K,8 мин,gotlium,"2015-03-18, 18:44",https://habr.com/ru/users/gotlium/
583220,"Руководство по работе с Django REST Framework, Swagger и созданию клиента TypeScript для API",https://habr.com/ru/companies/otus/articles/583220/,23K,8 мин,MaxRokatansky,"2021-10-13, 13:40",https://habr.com/ru/users/MaxRokatansky/
689106,Обзор markdown редакторов для Django,https://habr.com/ru/articles/689106/,6.3K,4 мин,Sqvall,"2022-09-19, 21:26",https://habr.com/ru/users/Sqvall/
160123,WebSocket-чат на Tornado для вашего Django-проекта,https://habr.com/ru/articles/160123/,67K,28 мин,aruseni,"2012-11-26, 14:41",https://habr.com/ru/users/aruseni/
512366,Как Django может обрабатывать 100 миллионов запросов в день,https://habr.com/ru/articles/512366/,23K,6 мин,kentavr009,"2020-07-24, 15:05",https://habr.com/ru/users/kentavr009/
83292,Вышел django 1.2 beta 1,https://habr.com/ru/articles/83292/,524,3 мин,kivsiak,"2010-02-06, 13:30",https://habr.com/ru/users/kivsiak/
97459,Развертываем Django под Denwer + mod_python. Личный опыт,https://habr.com/ru/articles/97459/,2.2K,4 мин,Apocalepse,"2010-06-25, 18:44",https://habr.com/ru/users/Apocalepse/
87096,GROUP_CONCAT для Django ORM,https://habr.com/ru/articles/87096/,3.2K,2 мин,printf,"2010-03-11, 02:34",https://habr.com/ru/users/printf/
659173,Django admin dynamic Inline positioning,https://habr.com/ru/articles/659173/,11K,5 мин,danilovmy,"2022-04-05, 13:34",https://habr.com/ru/users/danilovmy/
281899,Развертывание стека Django на Ubuntu в облаке Microsoft Azure,https://habr.com/ru/companies/microsoft/articles/281899/,6.7K,5 мин,XaocCPS,"2016-04-19, 12:50",https://habr.com/ru/users/XaocCPS/
181556,Простой блог с комментариями на Django: разработка и развертывание для самых маленьких,https://habr.com/ru/articles/181556/,162K,7 мин,svfat,"2013-05-31, 14:50",https://habr.com/ru/users/svfat/
692518,Архитектура универсального проекта Django,https://habr.com/ru/articles/692518/,21K,4 мин,Lev_Antropov,"2022-10-11, 01:52",https://habr.com/ru/users/Lev_Antropov/
717220,Создаем диаграмму миграций Django проекта,https://habr.com/ru/articles/717220/,2.5K,13 мин,Alex_INS,"2023-02-15, 23:25",https://habr.com/ru/users/Alex_INS/
721022,"Как разработать канбан-доску на Django, DRF и Alpine.js",https://habr.com/ru/companies/selectel/articles/721022/,11K,8 мин,erbanovanastasia,"2023-03-08, 14:47",https://habr.com/ru/users/erbanovanastasia/
723322,Django DRF Sign-in with Apple,https://habr.com/ru/articles/723322/,2.4K,6 мин,C0uchP0tat0,"2023-03-19, 06:49",https://habr.com/ru/users/C0uchP0tat0/
429628,"Как создать чат-бота для ВКонтакте, используя Python, Django и webhook",https://habr.com/ru/articles/429628/,24K,8 мин,Maxim_Mezhov,"2018-11-12, 18:35",https://habr.com/ru/users/Maxim_Mezhov/
541068,Конвертеры маршрутов в Django 2.0+ (path converters),https://habr.com/ru/companies/yandex_praktikum/articles/541068/,9.4K,8 мин,artreys,"2021-02-05, 17:01",https://habr.com/ru/users/artreys/
id,title,link,views,read_time,author_name,create_date,author_link
